Title,Number,Type,Al,Ba,B,Bi,Dy,Er,Ga,Ge,K,Li,Na,Mg,P,Si,Ta,Ti,Y,Zn,Zr,Test,Pump,Result,,,,,,,
Absorption- Fluorescence and Optical Amplification in MCVD Bismuth-Doped Silica Glass Optical Fibres,1,F,1,N/A,N/A,0.002,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,2,88,N/A,N/A,N/A,N/A,N/A,A,N/A,720,820,1000,,,,,
Absorption- Fluorescence and Optical Amplification in MCVD Bismuth-Doped Silica Glass Optical Fibres,1,F,1,N/A,N/A,0.002,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,2,88,N/A,N/A,N/A,N/A,N/A,L,676,750,-100,1160,-200,,,,
Absorption- Fluorescence and Optical Amplification in MCVD Bismuth-Doped Silica Glass Optical Fibres,2,F,10,N/A,N/A,0.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90,N/A,N/A,N/A,N/A,N/A,A,N/A,700,800,1000,,,,,
Absorption- Fluorescence and Optical Amplification in MCVD Bismuth-Doped Silica Glass Optical Fibres,2,F,10,N/A,N/A,0.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90,N/A,N/A,N/A,N/A,N/A,L,676,750,-100,1060,-200,,,,
Anti-Stokes luminescence in Bismuth-doped silica and germania-based fibers,3,F,N/A,N/A,N/A,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,N/A,N/A,N/A,N/A,A,??,,,,,,,,
Anti-Stokes luminescence in Bismuth-doped silica and germania-based fibers,4,F,N/A,N/A,N/A,0.02,N/A,N/A,N/A,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,??,,,,,,,,
Bi-doped SiO as a new laser material for an intense laser,5,G,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99,N/A,N/A,N/A,N/A,N/A,A,N/A,500,700,,,,,,
Bi-doped SiO as a new laser material for an intense laser,5,G,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99,N/A,N/A,N/A,N/A,N/A,L,680,1132,-150,,,,,,
Bismuth and Erbium Co-doped Optical Fiber for a White Light Fiber Source,6,F,1.059322034,N/A,N/A,1.13,N/A,0.07,N/A,91.10169492,N/A,N/A,N/A,N/A,6.638418079,N/A,N/A,N/A,N/A,N/A,N/A,L,830,1200,1420,1530,,,,,
Bismuth and erbium codoped optical fiber with ultrabroadband luminescence across O-- E-- S-- C-- and L-bands,7,F,1.059322034,N/A,N/A,1.13,N/A,0.07,N/A,91.10169492,N/A,N/A,N/A,N/A,6.638418079,N/A,N/A,N/A,N/A,N/A,N/A,A,N/A,517,652,717,866,976,1090,1530,
